player_id,player_name,transfers_date,transfer_fee,transfers_teams_in_id,transfers_teams_in_name,transfers_teams_out_id,transfers_teams_out_name,season_of_transfer,transfers_window,player_firstname,player_lastname,player_age,player_birth_date,player_birth_place,player_birth_country,player_nationality,player_height,player_weight,player_injured,player_photo,statistics_team_id,statistics_team_name,statistics_team_logo,statistics_league_id,statistics_league_name,statistics_league_country,statistics_league_logo,statistics_league_flag,statistics_league_season,statistics_games_appearences,statistics_games_lineups,statistics_games_minutes,statistics_games_number,statistics_games_position,statistics_games_rating,statistics_games_captain,statistics_substitutes_in,statistics_substitutes_out,statistics_substitutes_bench,statistics_shots_total,statistics_shots_on,statistics_goals_total,statistics_goals_conceded,statistics_goals_assists,statistics_goals_saves,statistics_passes_total,statistics_passes_key,statistics_passes_accuracy,statistics_tackles_total,statistics_tackles_blocks,statistics_tackles_interceptions,statistics_duels_total,statistics_duels_won,statistics_dribbles_attempts,statistics_dribbles_success,statistics_dribbles_past,statistics_fouls_drawn,statistics_fouls_committed,statistics_cards_yellow,statistics_cards_yellowred,statistics_cards_red,statistics_penalty_won,statistics_penalty_commited,statistics_penalty_scored,statistics_penalty_missed,statistics_penalty_saved,performance_metric,transfer_type
538,F. de Jong,2019-07-01,75.0,529,Barcelona,194.0,Ajax,2019,Summer,Frenkie,de Jong,26,1997-05-12,Arkel,Netherlands,Netherlands,181.0,74.0,0,https://media-2.api-sports.io/football/players/538.png,529,Barcelona,https://media-3.api-sports.io/football/teams/529.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2019,29.0,24.0,2121.0,NULL,Midfielder,7.007142,0,5.0,9.0,6.0,4.0,4.0,2.0,NULL,2.0,NULL,1452.0,23.0,90.0,20.0,7.0,19.0,11.0,9.0,58.0,47.0,NULL,30.0,22.0,2.0,1.0,0.0,NULL,NULL,0.0,0.0,NULL,0.3212938217485905,Foreign
521,R. Lewandowski,2022-07-19,50.0,529,Barcelona,157.0,Bayern Munich,2022,Summer,Robert,Lewandowski,35,1988-08-21,Warszawa,Poland,Poland,185.0,81.0,0,https://media-3.api-sports.io/football/players/521.png,529,Barcelona,https://media-1.api-sports.io/football/teams/529.png,140,La Liga,Spain,https://media-1.api-sports.io/football/leagues/140.png,https://media-2.api-sports.io/flags/es.svg,2022,34.0,33.0,2851.0,NULL,Attacker,7.332352,0,1.0,5.0,1.0,112.0,58.0,23.0,0.0,7.0,NULL,763.0,38.0,17.0,17.0,NULL,2.0,308.0,145.0,58.0,30.0,NULL,46.0,39.0,3.0,1.0,0.0,NULL,NULL,0.0,1.0,NULL,0.5115681836402538,Foreign
2282,A. Christensen,2022-07-04,0.0,529,Barcelona,49.0,Chelsea,2022,Summer,Andreas,Bodtker Christensen,27,1996-04-10,Lillerod,Denmark,Denmark,187.0,82.0,0,https://media-2.api-sports.io/football/players/2282.png,529,Barcelona,https://media-2.api-sports.io/football/teams/529.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2022,23.0,22.0,1767.0,NULL,Defender,7.008695,0,1.0,7.0,5.0,9.0,5.0,1.0,0.0,1.0,NULL,1494.0,7.0,61.0,21.0,12.0,20.0,116.0,70.0,2.0,NULL,NULL,7.0,18.0,2.0,0.0,0.0,NULL,NULL,0.0,0.0,NULL,0.2897198084284304,Foreign
163436,K. Saverio,2020-09-16,0.0,727,Osasuna,529.0,Barcelona,2020,Other,Javier Enrique,Delgado Saverio,24,1999-06-19,Genova,Italy,Ecuador,178.0,69.0,0,https://media-1.api-sports.io/football/players/163436.png,727,Osasuna,https://media-2.api-sports.io/football/teams/727.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2020,0.0,0.0,0.0,NULL,Midfielder,NULL,0,0.0,0.0,8.0,NULL,NULL,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,NULL,NULL,0.0,0.0,NULL,0.0,Spanish
285909,Pablo Torre,2022-07-01,NULL,529,Barcelona,4665.0,Racing Santander,2022,Summer,Pablo,Torre Carral,20,2003-04-03,Santander,Spain,Spain,173.0,63.0,0,https://media-3.api-sports.io/football/players/285909.png,529,Barcelona,https://media-1.api-sports.io/football/teams/529.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2022,8.0,1.0,138.0,NULL,Midfielder,6.585714,0,7.0,1.0,30.0,1.0,NULL,0.0,0.0,NULL,NULL,88.0,4.0,9.0,2.0,NULL,2.0,22.0,9.0,5.0,3.0,NULL,3.0,4.0,0.0,0.0,0.0,NULL,NULL,0.0,0.0,NULL,0.22736169529871036,Spanish
47324,Sandro Ramírez,2016-07-07,0.0,535,Malaga,529.0,Barcelona,2016,Summer,Sandro,Ramírez Castillo,28,1995-07-09,Las Palmas de Gran Canaria,Spain,Spain,175.0,71.0,0,https://media-3.api-sports.io/football/players/47324.png,535,Malaga,https://media-3.api-sports.io/football/teams/535.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2016,30.0,28.0,2316.0,NULL,Attacker,7.153333,0,2.0,11.0,2.0,92.0,37.0,14.0,NULL,3.0,NULL,493.0,32.0,78.0,NULL,NULL,14.0,220.0,103.0,51.0,25.0,NULL,56.0,21.0,4.0,0.0,0.0,2.0,NULL,0.0,1.0,NULL,0.4031006382887069,Spanish
47393,Marc Cardona,2019-07-01,2.5,727,Osasuna,529.0,Barcelona,2019,Summer,Marc,Cardona Rovira,28,1995-07-08,Lleida,Spain,Spain,183.0,70.0,0,https://media-2.api-sports.io/football/players/47393.png,727,Osasuna,https://media-2.api-sports.io/football/teams/727.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2019,19.0,9.0,703.0,NULL,Attacker,6.605555,0,10.0,9.0,20.0,12.0,4.0,1.0,NULL,2.0,NULL,124.0,9.0,74.0,1.0,0.0,2.0,35.0,12.0,17.0,8.0,NULL,9.0,8.0,1.0,0.0,0.0,NULL,NULL,0.0,0.0,NULL,0.25616494340560925,Spanish
125,Jokin Ezkieta,2019-07-01,NULL,531,Athletic Club,529.0,Barcelona,2019,Summer,Jokin,Ezkieta Mendiburu,27,1996-08-17,Villava,Spain,Spain,193.0,82.0,0,https://media-2.api-sports.io/football/players/125.png,531,Athletic Club,https://media-3.api-sports.io/football/teams/531.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2019,0.0,0.0,0.0,NULL,Goalkeeper,NULL,0,0.0,0.0,4.0,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,0.0,Spanish
47419,José Arnáiz,2017-08-27,3.4,529,Barcelona,720.0,Valladolid,2017,Summer,José Manuel,Arnáiz Díaz,28,1995-04-15,Talavera de la Reina,Spain,Spain,175.0,70.0,0,https://media-2.api-sports.io/football/players/47419.png,529,Barcelona,https://media-1.api-sports.io/football/teams/529.png,140,La Liga,Spain,https://media-1.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2017,1.0,0.0,5.0,NULL,Attacker,6.7,0,1.0,0.0,1.0,0.0,0.0,0.0,NULL,NULL,NULL,3.0,0.0,75.0,NULL,NULL,0.0,1.0,1.0,0.0,0.0,NULL,0.0,1.0,0.0,0.0,0.0,NULL,NULL,0.0,0.0,NULL,0.22333333333333333,Spanish
140,Thomas Vermaelen,2017-07-01,NULL,529,Barcelona,497.0,AS Roma,2017,Summer,Thomas,Vermaelen,37,1985-11-14,Kapellen,Belgium,Belgium,183.0,80.0,0,https://media-1.api-sports.io/football/players/140.png,529,Barcelona,https://media-1.api-sports.io/football/teams/529.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2017,14.0,12.0,1018.0,NULL,Defender,6.942857,0,2.0,2.0,11.0,3.0,2.0,0.0,NULL,1.0,NULL,601.0,3.0,92.0,2.0,1.0,18.0,63.0,35.0,2.0,1.0,NULL,3.0,9.0,3.0,0.0,0.0,NULL,NULL,0.0,0.0,NULL,0.2596735105072218,Foreign
