,player.id,player.name,player.firstname,player.lastname,player.age,player.birth.date,player.birth.place,player.birth.country,player.nationality,player.height,player.weight,player.injured,player.photo,statistics.team.id,statistics.team.name,statistics.team.logo,statistics.league.id,statistics.league.name,statistics.league.country,statistics.league.logo,statistics.league.flag,statistics.league.season,statistics.games.appearences,statistics.games.lineups,statistics.games.minutes,statistics.games.number,statistics.games.position,statistics.games.rating,statistics.games.captain,statistics.substitutes.in,statistics.substitutes.out,statistics.substitutes.bench,statistics.shots.total,statistics.shots.on,statistics.goals.total,statistics.goals.conceded,statistics.goals.assists,statistics.goals.saves,statistics.passes.total,statistics.passes.key,statistics.passes.accuracy,statistics.tackles.total,statistics.tackles.blocks,statistics.tackles.interceptions,statistics.duels.total,statistics.duels.won,statistics.dribbles.attempts,statistics.dribbles.success,statistics.dribbles.past,statistics.fouls.drawn,statistics.fouls.committed,statistics.cards.yellow,statistics.cards.yellowred,statistics.cards.red,statistics.penalty.won,statistics.penalty.commited,statistics.penalty.scored,statistics.penalty.missed,statistics.penalty.saved
0,136,Piqué,Gerard,Piqué Bernabéu,35,1987-02-02,Barcelona,Spain,Spain,194 cm,85 kg,False,https://media-3.api-sports.io/football/players/136.png,529,Barcelona,https://media-3.api-sports.io/football/teams/529.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-2.api-sports.io/flags/es.svg,2022,6.0,4.0,382.0,,Defender,7.150000,False,2.0,1.0,10.0,3.0,,0.0,0.0,,,383.0,1.0,58.0,5.0,1.0,2.0,42.0,28.0,1.0,1.0,,2.0,7.0,3.0,0.0,1.0,,,0.0,0.0,
1,745,Isco,Francisco Román,Alarcón Suárez,30,1992-04-21,Benalmádena,Spain,Spain,176 cm,79 kg,False,https://media-3.api-sports.io/football/players/745.png,536,Sevilla,https://media-2.api-sports.io/football/teams/536.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-2.api-sports.io/flags/es.svg,2022,12.0,10.0,803.0,,Midfielder,6.825000,False,2.0,6.0,2.0,4.0,1.0,0.0,0.0,2.0,,393.0,17.0,28.0,15.0,,10.0,127.0,65.0,20.0,11.0,,34.0,11.0,5.0,0.0,0.0,,,0.0,0.0,
2,1560,Barragán,Antonio,Barragán Fernández,35,1987-06-12,Pontedeume,Spain,Spain,182 cm,76 kg,False,https://media-2.api-sports.io/football/players/1560.png,797,Elche,https://media-3.api-sports.io/football/teams/797.png,140,La Liga,Spain,https://media-1.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2022,,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2043,Daniel Filipe Martins Carriço,Daniel Filipe,Martins Carriço,34,1988-08-04,Cascais,Portugal,Portugal,180 cm,79 kg,False,https://media-3.api-sports.io/football/players/2043.png,723,Almeria,https://media-2.api-sports.io/football/teams/723.png,140,La Liga,Spain,https://media-1.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2022,,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10151,Diego Alves,Diego,Alves Carreira,38,1985-06-24,Rio de Janeiro,Brazil,Brazil,190 cm,90 kg,False,https://media-1.api-sports.io/football/players/10151.png,538,Celta Vigo,https://media-1.api-sports.io/football/teams/538.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2022,0.0,0.0,0.0,,Goalkeeper,,False,0.0,0.0,6.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0
5,46665,Iñigo Pérez,Iñigo,Pérez Soto,34,1988-01-18,Pamplona,Spain,Spain,178 cm,74 kg,False,https://media-2.api-sports.io/football/players/46665.png,727,Osasuna,https://media-2.api-sports.io/football/teams/727.png,140,La Liga,Spain,https://media-1.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2022,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,46931,Álvaro Giménez,Álvaro,Giménez Candela,32,1991-05-19,Elche,Spain,Spain,183 cm,83 kg,False,https://media-3.api-sports.io/football/players/46931.png,724,Cadiz,https://media-1.api-sports.io/football/teams/724.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2022,1.0,0.0,16.0,,Attacker,6.300000,False,1.0,0.0,14.0,,,0.0,0.0,,,2.0,,2.0,,,,3.0,1.0,1.0,,,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,
7,47095,Nano,Alexander,Mesa Travieso,27,1995-02-05,La Laguna,Spain,Spain,178 cm,77 kg,False,https://media-3.api-sports.io/football/players/47095.png,724,Cadiz,https://media-1.api-sports.io/football/teams/724.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2022,,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,47326,Roberto Jiménez,Roberto,Jiménez Gago,36,1986-02-10,Madrid,Spain,Spain,192 cm,94 kg,False,https://media-1.api-sports.io/football/players/47326.png,720,Valladolid,https://media-1.api-sports.io/football/teams/720.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2022,0.0,0.0,0.0,,Goalkeeper,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
9,47335,Dídac Vilá Rosselló,Dídac,Vilá Rosselló,33,1989-06-09,Mataró,Spain,Spain,185 cm,74 kg,False,https://media-3.api-sports.io/football/players/47335.png,540,Espanyol,https://media-1.api-sports.io/football/teams/540.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-2.api-sports.io/flags/es.svg,2022,,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,47342,Víctor Sánchez Mata,Víctor,Sánchez Mata,35,1987-09-08,Terrassa,Spain,Spain,174 cm,72 kg,False,https://media-2.api-sports.io/football/players/47342.png,547,Girona,https://media-1.api-sports.io/football/teams/547.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2022,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,237066,Rafa Marín,Rafael,Marín Zamora,21,2002-05-19,Guadajoz,Spain,Spain,,,False,https://media-2.api-sports.io/football/players/237066.png,541,Real Madrid,https://media-1.api-sports.io/football/teams/541.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-2.api-sports.io/flags/es.svg,2022,0.0,0.0,0.0,,Defender,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
12,294797,Ángel Alarcón,Ángel,Alarcón Galiot,19,2004-05-15,Castelldefels,Spain,Spain,"
    ","
    ",False,https://media-1.api-sports.io/football/players/294797.png,529,Barcelona,https://media-3.api-sports.io/football/teams/529.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-2.api-sports.io/flags/es.svg,2022,3.0,0.0,22.0,,Attacker,6.450000,False,3.0,0.0,8.0,1.0,1.0,0.0,0.0,,,4.0,,4.0,,,,6.0,1.0,,,,1.0,2.0,0.0,0.0,0.0,,,0.0,0.0,
