player_id,player_name,transfers_date,transfer_fee,transfers_teams_in_id,transfers_teams_in_name,transfers_teams_out_id,transfers_teams_out_name,season_of_transfer,player_firstname,player_lastname,player_age,player_nationality,player_height,statistics_team_name,statistics_league_season,statistics_games_appearences,statistics_games_lineups,statistics_games_minutes,statistics_games_position,statistics_games_rating,statistics_substitutes_in,statistics_substitutes_out,statistics_shots_total,statistics_shots_on,statistics_goals_total,statistics_goals_conceded,statistics_goals_assists,statistics_goals_saves,statistics_passes_total,statistics_passes_key,statistics_passes_accuracy,statistics_tackles_total,statistics_tackles_blocks,statistics_tackles_interceptions,statistics_duels_total,statistics_duels_won,statistics_dribbles_attempts,statistics_dribbles_success,statistics_dribbles_past,statistics_fouls_drawn,statistics_fouls_committed,statistics_cards_yellow,statistics_cards_yellowred,statistics_cards_red,statistics_penalty_won,statistics_penalty_commited,statistics_penalty_scored,statistics_penalty_missed,statistics_penalty_saved
46714,M. Malsa,2022-08-12,1.0,720,Valladolid,539.0,Levante,2022.0,Mickaël Ramon,Malsa,27,Martinique,178.0,Valladolid,2022,5.0,0.0,64.0,Midfielder,6.22,5.0,0.0,,,0.0,0.0,,,20.0,,3.0,2.0,1.0,2.0,12.0,4.0,1.0,1.0,,,2.0,0.0,0.0,0.0,,,0.0,0.0,
122233,Marcos André,2021-08-25,,532,Valencia,720.0,Valladolid,2021.0,Marcos André,de Sousa Mendonça,27,Brazil,184.0,Valencia,2021,29.0,8.0,958.0,Attacker,6.678571,21.0,6.0,25.0,9.0,1.0,0.0,3.0,,176.0,13.0,4.0,15.0,,7.0,216.0,92.0,33.0,14.0,,22.0,23.0,3.0,0.0,0.0,,,0.0,0.0,
122233,Marcos André,2020-08-04,,720,Valladolid,799.0,Mirandes,2020.0,Marcos André,de Sousa Mendonça,27,Brazil,184.0,Valladolid,2020,23.0,11.0,1170.0,Attacker,6.656521,12.0,5.0,25.0,12.0,4.0,0.0,1.0,,185.0,6.0,5.0,8.0,2.0,2.0,231.0,87.0,24.0,12.0,,26.0,25.0,3.0,0.0,0.0,,,0.0,0.0,
122233,Marcos André,2020-08-04,,720,Valladolid,,Mirandes,2020.0,Marcos André,de Sousa Mendonça,27,Brazil,184.0,Valladolid,2020,23.0,11.0,1170.0,Attacker,6.656521,12.0,5.0,25.0,12.0,4.0,0.0,1.0,,185.0,6.0,5.0,8.0,2.0,2.0,231.0,87.0,24.0,12.0,,26.0,25.0,3.0,0.0,0.0,,,0.0,0.0,
2671,Jaime Mata,2018-07-02,0.0,546,Getafe,720.0,Valladolid,2018.0,Jaime,Mata Arnaiz,35,Spain,185.0,Getafe,2018,34.0,27.0,2436.0,Attacker,7.027272,7.0,11.0,58.0,25.0,14.0,,6.0,,393.0,18.0,60.0,20.0,0.0,17.0,427.0,185.0,34.0,12.0,,50.0,75.0,10.0,0.0,0.0,,,4.0,0.0,
1682,Asenjo,2022-07-07,0.0,720,Valladolid,533.0,Villarreal,2022.0,Sergio,Asenjo Andrés,34,Spain,189.0,Valladolid,2022,10.0,10.0,900.0,Goalkeeper,6.54,0.0,0.0,,,0.0,21.0,,31.0,305.0,,18.0,,,,4.0,4.0,,,,4.0,,0.0,0.0,0.0,,,0.0,0.0,1.0
740,Javier Sánchez,2020-08-01,,720,Valladolid,541.0,Real Madrid,2020.0,Javier,Sánchez de Felipe,26,Spain,186.0,Valladolid,2020,16.0,11.0,920.0,Defender,6.664285,5.0,5.0,3.0,,0.0,0.0,,,368.0,4.0,20.0,15.0,7.0,15.0,62.0,33.0,3.0,3.0,,2.0,6.0,3.0,0.0,0.0,,,0.0,0.0,
107153,Kike Pérez,2022-07-01,,720,Valladolid,797.0,Elche,2022.0,Enrique,Pérez Muñoz,26,Spain,184.0,Valladolid,2022,36.0,28.0,2317.0,Midfielder,6.8,8.0,18.0,35.0,10.0,1.0,0.0,2.0,,1132.0,32.0,24.0,69.0,7.0,20.0,378.0,188.0,58.0,30.0,,57.0,57.0,9.0,0.0,0.0,,,0.0,0.0,
104941,Monchu,2022-07-01,,720,Valladolid,715.0,Granada CF,2022.0,Ramón,Rodríguez Jiménez,24,Spain,173.0,Valladolid,2022,33.0,23.0,2030.0,Midfielder,6.890909,10.0,10.0,30.0,10.0,3.0,0.0,2.0,,970.0,25.0,24.0,50.0,11.0,18.0,226.0,106.0,18.0,10.0,,28.0,46.0,10.0,0.0,0.0,,,0.0,0.0,
46979,Iván Sánchez,2022-07-01,0.1,720,Valladolid,54.0,Birmingham,2022.0,Iván,Sánchez Aguayo,31,Spain,171.0,Valladolid,2022,25.0,13.0,1120.0,Midfielder,6.796,12.0,13.0,14.0,7.0,1.0,0.0,1.0,,434.0,17.0,14.0,20.0,1.0,8.0,168.0,98.0,50.0,33.0,,43.0,9.0,0.0,0.0,0.0,,,0.0,0.0,
