,player.id,player.name,player.firstname,player.lastname,player.age,player.birth.date,player.birth.place,player.birth.country,player.nationality,player.height,player.weight,player.injured,player.photo,statistics.team.id,statistics.team.name,statistics.team.logo,statistics.league.id,statistics.league.name,statistics.league.country,statistics.league.logo,statistics.league.flag,statistics.league.season,statistics.games.appearences,statistics.games.lineups,statistics.games.minutes,statistics.games.number,statistics.games.position,statistics.games.rating,statistics.games.captain,statistics.substitutes.in,statistics.substitutes.out,statistics.substitutes.bench,statistics.shots.total,statistics.shots.on,statistics.goals.total,statistics.goals.conceded,statistics.goals.assists,statistics.goals.saves,statistics.passes.total,statistics.passes.key,statistics.passes.accuracy,statistics.tackles.total,statistics.tackles.blocks,statistics.tackles.interceptions,statistics.duels.total,statistics.duels.won,statistics.dribbles.attempts,statistics.dribbles.success,statistics.dribbles.past,statistics.fouls.drawn,statistics.fouls.committed,statistics.cards.yellow,statistics.cards.yellowred,statistics.cards.red,statistics.penalty.won,statistics.penalty.commited,statistics.penalty.scored,statistics.penalty.missed,statistics.penalty.saved
0,1685,D. Bonera,Daniele,Bonera,38,1981-05-31,Brescia,Italy,Italy,183 cm,84 kg,False,https://media-3.api-sports.io/football/players/1685.png,533,Villarreal,https://media-3.api-sports.io/football/teams/533.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2018,5,4,233,,Defender,6.800000,False,1,3,5,0.0,0.0,0,,,,84.0,0.0,69.0,2.0,5.0,4.0,8.0,3.0,0.0,0.0,,0.0,2.0,1,0,0,,,0.0,0.0,
1,1704,Bruno,Bruno,Soriano Llido,37,1984-06-12,Artana,Spain,Spain,184 cm,73 kg,False,https://media-1.api-sports.io/football/players/1704.png,533,Villarreal,https://media-1.api-sports.io/football/teams/533.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-2.api-sports.io/flags/es.svg,2018,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,47259,Bergara,Markel,Bergara Larrañaga,34,1986-05-05,Elgoibar,Spain,Spain,180 cm,74 kg,False,https://media-1.api-sports.io/football/players/47259.png,546,Getafe,https://media-2.api-sports.io/football/teams/546.png,140,La Liga,Spain,https://media-1.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2018,3,0,50,,Midfielder,6.500000,False,3,0,4,0.0,0.0,0,,,,13.0,0.0,39.0,2.0,0.0,1.0,9.0,3.0,1.0,0.0,,0.0,1.0,0,0,0,,,0.0,0.0,
3,47261,Mathieu Flamini,Mathieu,Flamini,35,1984-03-07,Marseille,France,France,178 cm,67 kg,False,https://media-1.api-sports.io/football/players/47261.png,546,Getafe,https://media-3.api-sports.io/football/teams/546.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2018,10,4,449,,Midfielder,6.444444,False,6,2,15,0.0,0.0,0,,,,87.0,1.0,67.0,4.0,1.0,5.0,52.0,29.0,1.0,0.0,,6.0,14.0,5,0,0,,,0.0,0.0,
4,47280,Beñat,Beñat,Etxebarria Urkiaga,34,1987-02-19,Igorre,Spain,Spain,176 cm,75 kg,False,https://media-2.api-sports.io/football/players/47280.png,531,Athletic Club,https://media-3.api-sports.io/football/teams/531.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-2.api-sports.io/flags/es.svg,2018,27,25,2044,,Midfielder,6.881481,False,2,15,5,15.0,3.0,1,,2.0,,991.0,32.0,83.0,24.0,1.0,24.0,208.0,93.0,15.0,9.0,,17.0,30.0,8,0,0,,1.0,0.0,0.0,
5,47284,Iturraspe,Ander,Iturraspe Derteano,31,1989-03-08,Abadiño,Spain,Spain,187 cm,80 kg,False,https://media-1.api-sports.io/football/players/47284.png,531,Athletic Club,https://media-3.api-sports.io/football/teams/531.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2018,3,1,97,,Midfielder,6.533333,False,2,1,6,0.0,0.0,0,,,,71.0,0.0,90.0,2.0,0.0,6.0,13.0,8.0,1.0,0.0,,1.0,1.0,1,0,0,,,0.0,0.0,
6,47289,Susaeta,Markel,Susaeta Laskurain,34,1987-12-14,Eibar,Spain,Spain,179 cm,63 kg,False,https://media-1.api-sports.io/football/players/47289.png,531,Athletic Club,https://media-3.api-sports.io/football/teams/531.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2018,22,15,1380,,Attacker,6.772727,False,7,8,18,15.0,6.0,1,,2.0,,434.0,36.0,78.0,10.0,1.0,12.0,139.0,50.0,36.0,16.0,,13.0,12.0,3,1,0,,,0.0,0.0,
7,47290,Aduriz,Aritz,Aduriz Zubeldia,39,1981-02-11,San Sebastián,Spain,Spain,181 cm,77 kg,False,https://media-1.api-sports.io/football/players/47290.png,531,Athletic Club,https://media-2.api-sports.io/football/teams/531.png,140,La Liga,Spain,https://media-1.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2018,20,10,941,,Attacker,6.610526,False,10,6,13,19.0,11.0,2,,,,144.0,8.0,60.0,1.0,1.0,0.0,167.0,66.0,8.0,2.0,,8.0,28.0,4,0,0,,1.0,2.0,0.0,
8,47295,Moyà,Miguel Ángel,Moyà Rumbo,37,1984-04-02,Binissalem,Spain,Spain,188 cm,83 kg,False,https://media-3.api-sports.io/football/players/47295.png,548,Real Sociedad,https://media-1.api-sports.io/football/teams/548.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2018,11,11,990,,Goalkeeper,6.736363,False,0,0,22,0.0,0.0,0,11.0,,22.0,257.0,0.0,78.0,1.0,0.0,1.0,8.0,7.0,1.0,1.0,,1.0,0.0,1,0,0,,,0.0,0.0,0.0
9,47316,Zurutuza,David,Zurutuza Veillet,34,1986-07-19,Rochefort,France,Spain,186 cm,79 kg,False,https://media-3.api-sports.io/football/players/47316.png,548,Real Sociedad,https://media-3.api-sports.io/football/teams/548.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2018,21,13,1222,,Midfielder,6.719047,False,8,7,11,10.0,2.0,2,,,,487.0,10.0,74.0,16.0,4.0,24.0,199.0,102.0,11.0,5.0,,36.0,18.0,2,0,0,,,0.0,0.0,
