,player.id,player.name,player.firstname,player.lastname,player.age,player.birth.date,player.birth.place,player.birth.country,player.nationality,player.height,player.weight,player.injured,player.photo,statistics.team.id,statistics.team.name,statistics.team.logo,statistics.league.id,statistics.league.name,statistics.league.country,statistics.league.logo,statistics.league.flag,statistics.league.season,statistics.games.appearences,statistics.games.lineups,statistics.games.minutes,statistics.games.number,statistics.games.position,statistics.games.rating,statistics.games.captain,statistics.substitutes.in,statistics.substitutes.out,statistics.substitutes.bench,statistics.shots.total,statistics.shots.on,statistics.goals.total,statistics.goals.conceded,statistics.goals.assists,statistics.goals.saves,statistics.passes.total,statistics.passes.key,statistics.passes.accuracy,statistics.tackles.total,statistics.tackles.blocks,statistics.tackles.interceptions,statistics.duels.total,statistics.duels.won,statistics.dribbles.attempts,statistics.dribbles.success,statistics.dribbles.past,statistics.fouls.drawn,statistics.fouls.committed,statistics.cards.yellow,statistics.cards.yellowred,statistics.cards.red,statistics.penalty.won,statistics.penalty.commited,statistics.penalty.scored,statistics.penalty.missed,statistics.penalty.saved
0,136,Piqué,Gerard,Piqué Bernabéu,35,1987-02-02,Barcelona,Spain,Spain,194 cm,85 kg,False,https://media-3.api-sports.io/football/players/136.png,529,Barcelona,https://media-1.api-sports.io/football/teams/529.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2021,27.0,25.0,2096.0,,Defender,7.111111,False,2.0,5.0,3.0,14.0,3.0,1.0,0.0,,,1677.0,5.0,55.0,22.0,16.0,34.0,200.0,123.0,6.0,6.0,,15.0,30.0,9.0,1.0,0.0,,,0.0,0.0,
1,199,Šime Vrsaljko,Šime,Vrsaljko,30,1992-01-10,Rijeka,Croatia,Croatia,181 cm,76 kg,False,https://media-1.api-sports.io/football/players/199.png,530,Atletico Madrid,https://media-1.api-sports.io/football/teams/530.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2021,21.0,10.0,908.0,,Defender,6.715789,False,11.0,6.0,21.0,4.0,1.0,1.0,0.0,2.0,,456.0,3.0,16.0,27.0,1.0,12.0,124.0,70.0,7.0,5.0,,5.0,13.0,4.0,0.0,0.0,,,0.0,0.0,
2,642,S. Agüero,Sergio Leonel,Agüero del Castillo,33,1988-06-02,Quilmes,Argentina,Argentina,173 cm,70 kg,False,https://media-3.api-sports.io/football/players/642.png,529,Barcelona,https://media-3.api-sports.io/football/teams/529.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-2.api-sports.io/flags/es.svg,2021,4.0,2.0,151.0,,Attacker,6.900000,False,2.0,1.0,2.0,5.0,1.0,1.0,0.0,,,39.0,1.0,9.0,1.0,,,14.0,7.0,2.0,1.0,,2.0,1.0,0.0,0.0,0.0,,,0.0,0.0,
3,745,Isco,Francisco Román,Alarcón Suárez,30,1992-04-21,Benalmádena,Spain,Spain,176 cm,79 kg,False,https://media-1.api-sports.io/football/players/745.png,541,Real Madrid,https://media-1.api-sports.io/football/teams/541.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2021,14.0,3.0,323.0,,Midfielder,6.925000,False,11.0,3.0,25.0,5.0,3.0,1.0,0.0,,,259.0,10.0,16.0,9.0,,2.0,67.0,38.0,25.0,17.0,,8.0,7.0,1.0,0.0,0.0,,,0.0,0.0,
4,758,G. Bale,Gareth Frank,Bale,34,1989-07-16,Cardiff,Wales,Wales,186 cm,81 kg,False,https://media-1.api-sports.io/football/players/758.png,541,Real Madrid,https://media-1.api-sports.io/football/teams/541.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-2.api-sports.io/flags/es.svg,2021,5.0,4.0,283.0,,Attacker,6.800000,False,1.0,4.0,9.0,13.0,6.0,1.0,0.0,,,59.0,2.0,8.0,2.0,,2.0,26.0,10.0,4.0,1.0,,,3.0,2.0,0.0,0.0,,,0.0,0.0,
5,1447,Nacho Monreal,Ignacio,Monreal Eraso,36,1986-02-26,Pamplona,Spain,Spain,179 cm,72 kg,False,https://media-3.api-sports.io/football/players/1447.png,548,Real Sociedad,https://media-1.api-sports.io/football/teams/548.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2021,0.0,0.0,0.0,,Defender,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
6,1560,Barragán,Antonio,Barragán Fernández,35,1987-06-12,Pontedeume,Spain,Spain,182 cm,76 kg,False,https://media-3.api-sports.io/football/players/1560.png,797,Elche,https://media-1.api-sports.io/football/teams/797.png,140,La Liga,Spain,https://media-1.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2021,16.0,12.0,1023.0,,Defender,6.612500,False,4.0,7.0,21.0,1.0,,0.0,0.0,,,428.0,2.0,22.0,21.0,3.0,17.0,72.0,46.0,1.0,,,17.0,19.0,5.0,0.0,0.0,,,0.0,0.0,
7,2041,J. Gnagnon,Joris,Gnagnon,25,1997-01-13,Bondy,France,France,182 cm,89 kg,False,https://media-2.api-sports.io/football/players/2041.png,536,Sevilla,https://media-1.api-sports.io/football/teams/536.png,140,La Liga,Spain,https://media-1.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2021,0.0,0.0,0.0,,Defender,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
8,2480,I. Arboleda,Iván Mauricio,Arboleda,27,1996-04-21,Tumáco,Colombia,Colombia,183 cm,71 kg,False,https://media-2.api-sports.io/football/players/2480.png,728,Rayo Vallecano,https://media-1.api-sports.io/football/teams/728.png,140,La Liga,Spain,https://media-1.api-sports.io/football/leagues/140.png,https://media-2.api-sports.io/flags/es.svg,2021,0.0,0.0,0.0,,Goalkeeper,,False,0.0,0.0,8.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0
9,35672,L. Ulloa,José Leonardo,Ulloa,35,1986-07-26,General Roca,Argentina,Argentina,188 cm,89 kg,False,https://media-1.api-sports.io/football/players/35672.png,728,Rayo Vallecano,https://media-2.api-sports.io/football/teams/728.png,140,La Liga,Spain,https://media-1.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2021,,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
