,player.id,player.name,player.firstname,player.lastname,player.age,player.birth.date,player.birth.place,player.birth.country,player.nationality,player.height,player.weight,player.injured,player.photo,statistics.team.id,statistics.team.name,statistics.team.logo,statistics.league.id,statistics.league.name,statistics.league.country,statistics.league.logo,statistics.league.flag,statistics.league.season,statistics.games.appearences,statistics.games.lineups,statistics.games.minutes,statistics.games.number,statistics.games.position,statistics.games.rating,statistics.games.captain,statistics.substitutes.in,statistics.substitutes.out,statistics.substitutes.bench,statistics.shots.total,statistics.shots.on,statistics.goals.total,statistics.goals.conceded,statistics.goals.assists,statistics.goals.saves,statistics.passes.total,statistics.passes.key,statistics.passes.accuracy,statistics.tackles.total,statistics.tackles.blocks,statistics.tackles.interceptions,statistics.duels.total,statistics.duels.won,statistics.dribbles.attempts,statistics.dribbles.success,statistics.dribbles.past,statistics.fouls.drawn,statistics.fouls.committed,statistics.cards.yellow,statistics.cards.yellowred,statistics.cards.red,statistics.penalty.won,statistics.penalty.commited,statistics.penalty.scored,statistics.penalty.missed,statistics.penalty.saved
625,1461,Denis Suárez,Denis,Suárez Fernández,29,1994-01-06,Salceda de Caselas,Spain,Spain,176 cm,69 kg,False,https://media-1.api-sports.io/football/players/1461.png,538,Celta Vigo,https://media-1.api-sports.io/football/teams/538.png,140,La Liga,Spain,https://media-1.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2020,35.0,34.0,2863.0,,Midfielder,6.925714,False,1.0,12.0,2.0,12.0,3.0,0.0,0.0,9.0,,1902.0,47.0,45.0,64.0,2.0,22.0,328.0,153.0,58.0,36.0,,40.0,45.0,10.0,0.0,0.0,,,0.0,0.0,
626,1583,Sergio León,Sergio,León Limones,34,1989-01-06,La Palma del Río,Spain,Spain,178 cm,73 kg,False,https://media-3.api-sports.io/football/players/1583.png,539,Levante,https://media-3.api-sports.io/football/teams/539.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2020,28.0,6.0,732.0,,Attacker,6.450000,False,22.0,6.0,29.0,14.0,5.0,2.0,0.0,,,135.0,8.0,4.0,6.0,,3.0,83.0,23.0,10.0,1.0,,6.0,14.0,1.0,0.0,0.0,,,0.0,0.0,
627,1682,Asenjo,Sergio,Asenjo Andrés,34,1989-06-28,Palencia,Spain,Spain,189 cm,87 kg,False,https://media-3.api-sports.io/football/players/1682.png,533,Villarreal,https://media-2.api-sports.io/football/teams/533.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2020,36.0,36.0,3240.0,,Goalkeeper,6.791666,False,0.0,0.0,2.0,,,0.0,40.0,,80.0,1115.0,,23.0,,,,11.0,9.0,,,,2.0,1.0,2.0,0.0,0.0,,,0.0,0.0,0.0
628,2040,Escudero,Sergio,Escudero Palomo,34,1989-09-02,Valladolid,Spain,Spain,176 cm,65 kg,False,https://media-1.api-sports.io/football/players/2040.png,536,Sevilla,https://media-1.api-sports.io/football/teams/536.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2020,9.0,7.0,567.0,,Defender,7.000000,False,2.0,5.0,15.0,5.0,1.0,1.0,0.0,,,328.0,6.0,32.0,12.0,2.0,9.0,54.0,29.0,4.0,2.0,,7.0,8.0,3.0,0.0,0.0,,,0.0,0.0,
629,2042,Sergi Gómez,Sergi,Gómez Solà,31,1992-03-28,Arenys de Mar,Spain,Spain,185 cm,80 kg,False,https://media-3.api-sports.io/football/players/2042.png,536,Sevilla,https://media-2.api-sports.io/football/teams/536.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2020,9.0,9.0,723.0,,Defender,6.888888,False,0.0,4.0,24.0,,,0.0,0.0,,,543.0,1.0,56.0,4.0,4.0,6.0,51.0,25.0,,,,1.0,1.0,2.0,0.0,0.0,,,0.0,0.0,
630,2047,Aleix Vidal,Aleix,Vidal Parreu,34,1989-08-21,Puigpelat,Spain,Spain,177 cm,70 kg,False,https://media-1.api-sports.io/football/players/2047.png,536,Sevilla,https://media-2.api-sports.io/football/teams/536.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2020,12.0,5.0,588.0,,Defender,6.890909,False,7.0,1.0,26.0,1.0,,0.0,0.0,1.0,,429.0,6.0,30.0,9.0,1.0,12.0,67.0,41.0,9.0,4.0,,14.0,5.0,2.0,0.0,0.0,,,0.0,0.0,
631,2053,Roque Mesa,Roque,Mesa Quevedo,34,1989-06-07,Las Palmas de Gran Canaria,Spain,Spain,172 cm,74 kg,False,https://media-1.api-sports.io/football/players/2053.png,720,Valladolid,https://media-3.api-sports.io/football/teams/720.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-2.api-sports.io/flags/es.svg,2020,25.0,21.0,1861.0,,Midfielder,6.832000,False,4.0,15.0,10.0,22.0,5.0,1.0,0.0,,,868.0,16.0,28.0,46.0,2.0,14.0,261.0,131.0,42.0,34.0,,36.0,29.0,4.0,0.0,1.0,,,1.0,0.0,
632,2459,D. Machís,Darwin Daniel,Machís Marcano,30,1993-02-07,Tucupita,Venezuela,Venezuela,170 cm,68 kg,False,https://media-3.api-sports.io/football/players/2459.png,715,Granada CF,https://media-3.api-sports.io/football/teams/715.png,140,La Liga,Spain,https://media-1.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2020,32.0,21.0,2028.0,,Attacker,6.793750,False,11.0,15.0,11.0,34.0,20.0,5.0,0.0,5.0,,436.0,25.0,9.0,30.0,2.0,22.0,294.0,132.0,82.0,45.0,,45.0,32.0,1.0,0.0,0.0,,,0.0,1.0,
633,18902,Kenedy,Robert Kenedy,Nunes do Nascimento,27,1996-02-08,Santa Rita do Sapucaí,Brazil,Brazil,182 cm,77 kg,False,https://media-3.api-sports.io/football/players/18902.png,715,Granada CF,https://media-3.api-sports.io/football/teams/715.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-2.api-sports.io/flags/es.svg,2020,28.0,18.0,1476.0,,Midfielder,6.710714,False,10.0,15.0,12.0,29.0,11.0,4.0,0.0,3.0,,248.0,17.0,6.0,22.0,4.0,26.0,232.0,92.0,70.0,37.0,,22.0,32.0,3.0,0.0,0.0,,,0.0,0.0,
634,31386,J. El Yamiq,Jawad,El Yamiq,31,1992-02-29,Khouribga,Morocco,Morocco,193 cm,83 kg,False,https://media-1.api-sports.io/football/players/31386.png,720,Valladolid,https://media-2.api-sports.io/football/teams/720.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-2.api-sports.io/flags/es.svg,2020,19.0,15.0,1377.0,,Defender,7.000000,False,4.0,1.0,8.0,7.0,2.0,0.0,0.0,1.0,,628.0,2.0,25.0,21.0,10.0,46.0,122.0,85.0,3.0,2.0,,15.0,13.0,6.0,0.0,0.0,,,0.0,0.0,
