In,Age,Nat.,Position,Pos,Market value,Left,Left Club Country,Fee,Club name,Year of transfer
Juankar,27,Spain,Left-Back,LB,€900k,SC Braga,Portugal,free transfer,Málaga CF,2017
Andrés Prieto,23,Spain,Goalkeeper,GK,€200k,RCD Espanyol B,Spain,free transfer,Málaga CF,2017
Adrián González,29,Spain,Central Midfield,CM,-,SD Eibar,Spain,free transfer,Málaga CF,2017
Álex Mula,20,Spain,Left Winger,LW,€400k,Atlético Malagueño,Spain,-,Málaga CF,2017
Luis Muñoz,20,Spain,Defensive Midfield,DM,€1.50m,Atlético Malagueño,Spain,-,Málaga CF,2017
Simone Zaza,26,Italy,Centre-Forward,CF,€500k,Juventus FC,Italy,€16.00m,Valencia CF,2017
Francis Coquelin,26,France,Defensive Midfield,DM,€5.00m,Arsenal FC,England,€14.00m,Valencia CF,2017
Gabriel Paulista,26,Brazil,Centre-Back,CB,€3.00m,Arsenal FC,England,€11.00m,Valencia CF,2017
Neto,27,Brazil,Goalkeeper,GK,€2.50m,Juventus FC,Italy,€7.00m,Valencia CF,2017
Fabián Orellana,31,Chile,Right Winger,RW,€250k,Celta de Vigo,Spain,€3.00m,Valencia CF,2017
Nemanja Maksimovic,22,Serbia,Central Midfield,CM,€8.00m,FC Astana,Kazakhstan,free transfer,Valencia CF,2017
Nacho Vidal,22,Spain,Right-Back,RB,€5.00m,Valencia Mestalla,Spain,-,Valencia CF,2017
Nacho Gil,21,Spain,Left Winger,LW,€300k,Valencia Mestalla,Spain,-,Valencia CF,2017
Toni Lato,19,Spain,Left-Back,LB,€2.50m,Valencia Mestalla,Spain,-,Valencia CF,2017
Ferran Torres,17,Spain,Left Winger,LW,€30.00m,Valencia Mestalla,Spain,-,Valencia CF,2017
Emre Mor,20,Turkey,Right Winger,RW,€3.70m,Borussia Dortmund,Germany,€13.00m,Celta de Vigo,2017
Stanislav Lobotka,22,Slovakia,Defensive Midfield,DM,€38.00m,FC Nordsjaelland,Denmark,€5.00m,Celta de Vigo,2017
Maxi Gómez,20,Uruguay,Centre-Forward,CF,€8.00m,Defensor Sporting Club,Uruguay,€4.30m,Celta de Vigo,2017
Jozabed Sánchez,26,Spain,Central Midfield,CM,€500k,Fulham FC,England,€3.50m,Celta de Vigo,2017
Robert Mazan,23,Slovakia,Left-Back,LB,€250k,MSK Zilina,Slovakia,€1.00m,Celta de Vigo,2017
Iván Villar,19,Spain,Goalkeeper,GK,€1.20m,Celta Vigo B,Spain,-,Celta de Vigo,2017
Jairo Samperio,24,Spain,Right Winger,RW,€500k,1.FSV Mainz 05,Germany,€350k,UD Las Palmas,2017
Gabriel Peñalba,33,Argentina,Central Midfield,CM,-,CD Cruz Azul,Mexico,free transfer,UD Las Palmas,2017
Loïc Rémy,30,France,Centre-Forward,CF,€150k,Chelsea FC,England,free transfer,UD Las Palmas,2017
Ximo Navarro,27,Spain,Right-Back,RB,€700k,UD Almería,Spain,free transfer,UD Las Palmas,2017
Alberto Aquilani,33,Italy,Central Midfield,CM,-,Delfino Pescara 1936,Italy,free transfer,UD Las Palmas,2017
Leandro Chichizola,27,Argentina,Goalkeeper,GK,€600k,Spezia Calcio,Italy,free transfer,UD Las Palmas,2017
Borja Herrera,24,Spain,Attacking Midfield,AM,€300k,Las Palmas Atlético,Spain,-,UD Las Palmas,2017
Imoh Ezekiel,24,Nigeria,Centre-Forward,CF,€200k,Without ClubWithout Club,Without Club,-,UD Las Palmas,2017
