In,Age,Nat.,Position,Pos,Market value,Left,Left Club Country,Fee,Club name,Year of transfer
David Juncà,24,Spain,Left-Back,LB,€450k,SD Eibar,Spain,free transfer,Celta de Vigo,2018
Dennis Eckert Ayensa,21,Germany,Centre-Forward,CF,€450k,Celta Vigo B,Spain,-,Celta de Vigo,2018
Brais Méndez,21,Spain,Attacking Midfield,AM,€30.00m,Celta Vigo B,Spain,-,Celta de Vigo,2018
Juan Hernández,23,Spain,Right Winger,RW,€400k,Celta Vigo B,Spain,-,Celta de Vigo,2018
Kevin Vázquez,25,Spain,Right-Back,RB,€1.00m,Celta Vigo B,Spain,-,Celta de Vigo,2018
Borja Iglesias,25,Spain,Centre-Forward,CF,€25.00m,Celta Vigo B,Spain,-,Celta de Vigo,2018
Borja Iglesias,25,Spain,Centre-Forward,CF,€25.00m,Celta de Vigo,Spain,€10.00m,RCD Espanyol Barcelona,2018
Sergi Darder,24,Spain,Central Midfield,CM,€16.00m,Olympique Lyon,France,€8.00m,RCD Espanyol Barcelona,2018
Lei Wu,27,China,Right Winger,RW,€2.00m,Shanghai SIPG,China,€1.50m,RCD Espanyol Barcelona,2018
Sergio Sánchez,32,Spain,Centre-Back,CB,-,Rubin Kazan,Russia,free transfer,RCD Espanyol Barcelona,2018
Pipa,20,Spain,Right-Back,RB,€2.50m,RCD Espanyol B,Spain,-,RCD Espanyol Barcelona,2018
Javi Puado,20,Spain,Left Winger,LW,€7.00m,RCD Espanyol B,Spain,-,RCD Espanyol Barcelona,2018
Álex López,21,Spain,Central Midfield,CM,€400k,RCD Espanyol B,Spain,-,RCD Espanyol Barcelona,2018
William Carvalho,26,Portugal,Defensive Midfield,DM,€16.00m,Sporting CP,Portugal,€16.00m,Real Betis Balompié,2018
Diego Lainez,18,Mexico,Right Winger,RW,€2.50m,CF América,Mexico,€14.00m,Real Betis Balompié,2018
Emerson Royal,20,Brazil,Right-Back,RB,€25.00m,FC Barcelona,Spain,€6.00m,Real Betis Balompié,2018
Sidnei,28,Brazil,Centre-Back,CB,€800k,Deportivo de La Coruña,Spain,€4.50m,Real Betis Balompié,2018
Antonio Barragán,31,Spain,Right-Back,RB,-,Middlesbrough FC,England,€1.00m,Real Betis Balompié,2018
Takashi Inui,30,Japan,Left Winger,LW,€500k,SD Eibar,Spain,free transfer,Real Betis Balompié,2018
Pau López,23,Spain,Goalkeeper,GK,€14.00m,RCD Espanyol Barcelona,Spain,free transfer,Real Betis Balompié,2018
Joel Robles,28,Spain,Goalkeeper,GK,€1.20m,Everton FC,England,free transfer,Real Betis Balompié,2018
Sergio Canales,27,Spain,Attacking Midfield,AM,€20.00m,Real Sociedad,Spain,free transfer,Real Betis Balompié,2018
Wilfrid Kaptoum,22,Cameroon,Central Midfield,CM,€1.50m,Betis Deportivo Balompié,Spain,-,Real Betis Balompié,2018
Liberto Beltrán,21,Spain,Left Winger,LW,€200k,Betis Deportivo Balompié,Spain,-,Real Betis Balompié,2018
Vinicius Junior,18,Brazil,Left Winger,LW,€120.00m,CR Flamengo,Brazil,€45.00m,Real Madrid,2018
Thibaut Courtois,26,Belgium,Goalkeeper,GK,€60.00m,Chelsea FC,England,€35.00m,Real Madrid,2018
Álvaro Odriozola,22,Spain,Right-Back,RB,€5.00m,Real Sociedad,Spain,€32.00m,Real Madrid,2018
Mariano Díaz,25,Dominican Republic,Centre-Forward,CF,€2.50m,Olympique Lyon,France,€21.50m,Real Madrid,2018
Brahim Díaz,19,Spain,Attacking Midfield,AM,€20.00m,Manchester City,England,€17.00m,Real Madrid,2018
Andriy Lunin,19,Ukraine,Goalkeeper,GK,€5.00m,Zorya Lugansk,Ukraine,€8.50m,Real Madrid,2018
Omar Mascarell,25,Spain,Defensive Midfield,DM,€3.50m,Eintracht Frankfurt,Germany,€4.00m,Real Madrid,2018
Lucas Torró,23,Spain,Defensive Midfield,DM,€7.00m,CA Osasuna,Spain,€1.75m,Real Madrid,2018
Raúl de Tomás,23,Spain,Centre-Forward,CF,€8.00m,Real Madrid Castilla,Spain,-,Real Madrid,2018
Sergio Reguilón,21,Spain,Left-Back,LB,€15.00m,Real Madrid Castilla,Spain,-,Real Madrid,2018
Federico Valverde,19,Uruguay,Central Midfield,CM,€100.00m,Real Madrid Castilla,Spain,-,Real Madrid,2018
Luca Zidane,20,France,Goalkeeper,GK,€2.00m,Real Madrid Castilla,Spain,-,Real Madrid,2018
Óscar Rodríguez,20,Spain,Attacking Midfield,AM,€10.00m,Real Madrid Castilla,Spain,-,Real Madrid,2018
Mikel Merino,22,Spain,Central Midfield,CM,€50.00m,Newcastle United,England,€12.00m,Real Sociedad,2018
Eneko Capilla,23,Spain,Attacking Midfield,AM,€300k,Real Sociedad B,Spain,-,Real Sociedad,2018
Jon Guridi,23,Spain,Central Midfield,CM,€1.50m,Real Sociedad B,Spain,-,Real Sociedad,2018
Martín Merquelanz,23,Spain,Left Winger,LW,€1.20m,Real Sociedad B,Spain,-,Real Sociedad,2018
Luca Sangalli,23,Spain,Central Midfield,CM,€1.00m,Real Sociedad B,Spain,-,Real Sociedad,2018
Andoni Gorosabel,21,Spain,Right-Back,RB,€10.00m,Real Sociedad B,Spain,-,Real Sociedad,2018
Sergio Álvarez,26,Spain,Central Midfield,CM,€1.20m,Sporting Gijón,Spain,€4.00m,SD Eibar,2018
Fabián Orellana,32,Chile,Right Winger,RW,€250k,Valencia CF,Spain,€2.00m,SD Eibar,2018
Pablo de Blasis,30,Argentina,Attacking Midfield,AM,€500k,1.FSV Mainz 05,Germany,€2.00m,SD Eibar,2018
José Antonio Martínez,25,Spain,Centre-Back,CB,€1.50m,FC Barcelona B,Spain,free transfer,SD Eibar,2018
Quincy Promes,26,Netherlands,Left Winger,LW,€11.00m,Spartak Moscow,Russia,€21.00m,Sevilla FC,2018
Ibrahim Amadou,25,France,Defensive Midfield,DM,€1.80m,LOSC Lille,France,€14.40m,Sevilla FC,2018
Joris Gnagnon,21,France,Centre-Back,CB,€300k,Stade Rennais FC,France,€13.50m,Sevilla FC,2018
Aleix Vidal,28,Spain,Right Winger,RW,€1.80m,FC Barcelona,Spain,€9.30m,Sevilla FC,2018
Roque Mesa,29,Spain,Central Midfield,CM,€2.50m,Swansea City,England,€6.00m,Sevilla FC,2018
Tomas Vaclik,29,Czech Republic,Goalkeeper,GK,€2.50m,FC Basel 1893,Switzerland,€6.00m,Sevilla FC,2018
Sergi Gómez,26,Spain,Centre-Back,CB,€2.00m,Celta de Vigo,Spain,€5.50m,Sevilla FC,2018
Munir El Haddadi,23,Morocco,Centre-Forward,CF,€4.00m,FC Barcelona,Spain,€1.05m,Sevilla FC,2018
Juan Soriano,20,Spain,Goalkeeper,GK,€1.00m,Sevilla Atlético,Spain,-,Sevilla FC,2018
Bryan Gil,17,Spain,Left Winger,LW,€12.00m,Sevilla Atlético,Spain,-,Sevilla FC,2018
Carlos Fernández,22,Spain,Centre-Forward,CF,€4.00m,Sevilla Atlético,Spain,-,Sevilla FC,2018
Marc Gual,22,Spain,Centre-Forward,CF,€1.20m,Sevilla Atlético,Spain,-,Sevilla FC,2018
Alejandro Pozo,19,Spain,Right-Back,RB,€3.00m,Sevilla Atlético,Spain,-,Sevilla FC,2018
Gonçalo Guedes,21,Portugal,Second Striker,SS,€28.00m,Paris Saint-Germain,France,€40.00m,Valencia CF,2018
Geoffrey Kondogbia,25,Central African Republic,Defensive Midfield,DM,€18.00m,Inter Milan,Italy,€22.00m,Valencia CF,2018
Kévin Gameiro,31,France,Centre-Forward,CF,€1.50m,Atlético de Madrid,Spain,€16.00m,Valencia CF,2018
Mouctar Diakhaby,21,Guinea,Centre-Back,CB,€8.00m,Olympique Lyon,France,€15.00m,Valencia CF,2018
Jeison Murillo,26,Colombia,Centre-Back,CB,€2.00m,Inter Milan,Italy,€12.00m,Valencia CF,2018
Cristiano Piccini,25,Italy,Centre-Back,CB,€800k,Sporting CP,Portugal,€8.00m,Valencia CF,2018
Daniel Wass,29,Denmark,Right-Back,RB,€2.50m,Celta de Vigo,Spain,€6.00m,Valencia CF,2018
Rubén Sobrino,26,Spain,Centre-Forward,CF,€2.00m,Deportivo Alavés,Spain,€5.00m,Valencia CF,2018
Uros Racic,20,Serbia,Defensive Midfield,DM,€6.50m,Red Star Belgrade,Serbia,€2.20m,Valencia CF,2018
Kang-in Lee,17,"Korea, South",Attacking Midfield,AM,€15.00m,Valencia Mestalla,Spain,-,Valencia CF,2018
Fran Villalba,20,Spain,Attacking Midfield,AM,€2.00m,Valencia Mestalla,Spain,-,Valencia CF,2018
Álex Blanco,20,Spain,Left Winger,LW,€700k,Valencia Mestalla,Spain,-,Valencia CF,2018
Gerard Moreno,26,Spain,Centre-Forward,CF,€30.00m,RCD Espanyol Barcelona,Spain,€20.00m,Villarreal CF,2018
Karl Toko Ekambi,25,Cameroon,Left Winger,LW,€10.00m,Angers SCO,France,€18.00m,Villarreal CF,2018
Roger Martínez,24,Colombia,Left Winger,LW,€2.00m,Jiangsu Suning,China,€14.90m,Villarreal CF,2018
Santiago Cáseres,21,Argentina,Defensive Midfield,DM,€2.50m,CA Vélez Sarsfield,Argentina,€10.00m,Villarreal CF,2018
Vicente Iborra,30,Spain,Defensive Midfield,DM,€2.00m,Leicester City,England,€10.00m,Villarreal CF,2018
Ramiro Funes Mori,27,Argentina,Centre-Back,CB,€1.50m,Everton FC,England,€9.00m,Villarreal CF,2018
Carlos Bacca,31,Colombia,Centre-Forward,CF,€600k,AC Milan,Italy,€7.00m,Villarreal CF,2018
Miguel Layún,30,Mexico,Right-Back,RB,€1.20m,FC Porto,Portugal,€4.00m,Villarreal CF,2018
Santi Cazorla,33,Spain,Central Midfield,CM,€700k,Arsenal FC,England,free transfer,Villarreal CF,2018
Manuel Iturra,34,Chile,Defensive Midfield,DM,-,Málaga CF,Spain,free transfer,Villarreal CF,2018
Leo Suárez,22,Argentina,Right Winger,RW,€3.00m,Villarreal CF B,Spain,-,Villarreal CF,2018
Miguel Llambrich,22,Spain,Right-Back,RB,€600k,Villarreal CF B,Spain,-,Villarreal CF,2018
Samuel Chukwueze,19,Nigeria,Right Winger,RW,€20.00m,Villarreal CF B,Spain,-,Villarreal CF,2018
Pau Torres,21,Spain,Centre-Back,CB,€45.00m,Villarreal CF B,Spain,-,Villarreal CF,2018
Dani Raba,22,Spain,Right Winger,RW,€1.20m,Villarreal CF B,Spain,-,Villarreal CF,2018
Manu Morlanes,19,Spain,Central Midfield,CM,€4.00m,Villarreal CF B,Spain,-,Villarreal CF,2018
Juan Ibiza,22,Spain,Centre-Back,CB,€500k,Villarreal CF B,Spain,-,Villarreal CF,2018
Enric Gallego,32,Spain,Centre-Forward,CF,€600k,Extremadura UD,Spain,€3.00m,SD Huesca,2018
Serdar Gürler,26,Turkey,Left Winger,LW,€2.50m,Osmanlispor FK,Turkey,€2.50m,SD Huesca,2018
Javi Galán,24,Spain,Left-Back,LB,€12.00m,Córdoba CF,Spain,€1.00m,SD Huesca,2018
Aleksandar Jovanovic,25,Serbia,Goalkeeper,GK,€800k,Aarhus GF,Denmark,€1.00m,SD Huesca,2018
Dani Escriche,20,Spain,Centre-Forward,CF,€1.20m,CD Lugo,Spain,€800k,SD Huesca,2018
Jonathan Toro,21,Honduras,Attacking Midfield,AM,€300k,Gil Vicente FC,Portugal,free transfer,SD Huesca,2018
Eugeni,23,Spain,Attacking Midfield,AM,€600k,Valencia Mestalla,Spain,free transfer,SD Huesca,2018
Luísinho,33,Portugal,Left-Back,LB,-,Deportivo de La Coruña,Spain,free transfer,SD Huesca,2018
Jorge Miramón,29,Spain,Right-Back,RB,€1.80m,CF Reus Deportiu,Spain,free transfer,SD Huesca,2018
Javi Varas,36,Spain,Goalkeeper,GK,-,Without ClubWithout Club,Without Club,-,SD Huesca,2018
Álvaro García,25,Spain,Left Winger,LW,€6.00m,Cádiz CF,Spain,€4.50m,Rayo Vallecano,2018
Gaël Kakuta,27,DR Congo,Attacking Midfield,AM,€2.00m,Hebei China Fortune,China,€2.00m,Rayo Vallecano,2018
José Pozo,22,Spain,Attacking Midfield,AM,€1.20m,UD Almería,Spain,€1.30m,Rayo Vallecano,2018
Jordi Amat,26,Indonesia,Centre-Back,CB,€1.00m,Swansea City,England,€1.00m,Rayo Vallecano,2018
Stole Dimitrievski,25,North Macedonia,Goalkeeper,GK,€4.00m,Gimnàstic de Tarragona,Spain,€900k,Rayo Vallecano,2018
Bebé,28,Cape Verde,Left Winger,LW,€800k,SD Eibar,Spain,€750k,Rayo Vallecano,2018
Alberto García,33,Spain,Goalkeeper,GK,-,Getafe CF,Spain,€500k,Rayo Vallecano,2018
Alejandro Catena,24,Spain,Centre-Back,CB,€8.00m,CF Reus Deportiu,Spain,free transfer,Rayo Vallecano,2018
Mario Suárez,31,Spain,Centre-Back,CB,€300k,Guizhou Hengfeng,China,free transfer,Rayo Vallecano,2018
Alejandro Gálvez,29,Spain,Centre-Back,CB,-,SD Eibar,Spain,free transfer,Rayo Vallecano,2018
José León,23,Spain,Centre-Back,CB,€700k,Real Madrid Castilla,Spain,free transfer,Rayo Vallecano,2018
Tito,33,Spain,Right-Back,RB,-,CD Leganés,Spain,free transfer,Rayo Vallecano,2018
Emiliano Velázquez,24,Uruguay,Centre-Back,CB,€1.00m,Atlético de Madrid,Spain,free transfer,Rayo Vallecano,2018
Sergio Benito,19,Spain,Centre-Forward,CF,€250k,Rayo Vallecano B,Spain,-,Rayo Vallecano,2018
Mario Hernández,19,Spain,Right-Back,RB,€700k,Rayo Vallecano B,Spain,-,Rayo Vallecano,2018
Sergi Guardiola,27,Spain,Centre-Forward,CF,€2.50m,Córdoba CF,Spain,€3.00m,Real Valladolid CF,2018
Álvaro Aguado,22,Spain,Central Midfield,CM,€3.00m,Córdoba CF,Spain,€2.00m,Real Valladolid CF,2018
Stiven Plaza,19,Ecuador,Centre-Forward,CF,€200k,Independiente del Valle,Ecuador,€2.00m,Real Valladolid CF,2018
Joaquín Fernández,22,Spain,Centre-Back,CB,€3.00m,UD Almería,Spain,€1.10m,Real Valladolid CF,2018
Rubén Alcaraz,27,Spain,Central Midfield,CM,€2.00m,Girona FC,Spain,€1.00m,Real Valladolid CF,2018
Fede San Emeterio,21,Spain,Central Midfield,CM,€2.00m,Sevilla Atlético,Spain,€500k,Real Valladolid CF,2018
José Antonio Caro,24,Spain,Goalkeeper,GK,€1.00m,Sevilla Atlético,Spain,free transfer,Real Valladolid CF,2018
David Mayoral,21,Spain,Right Winger,RW,€100k,Real Valladolid B,Spain,-,Real Valladolid CF,2018
Waldo Rubio,23,Spain,Left Winger,LW,€800k,Real Valladolid B,Spain,-,Real Valladolid CF,2018
Antonio Domínguez,25,Spain,Attacking Midfield,AM,€300k,Real Valladolid B,Spain,-,Real Valladolid CF,2018
Moi Delgado,24,Spain,Left-Back,LB,€300k,Real Valladolid B,Spain,-,Real Valladolid CF,2018
Antoine Griezmann,28,France,Second Striker,SS,€25.00m,Atlético de Madrid,Spain,€120.00m,FC Barcelona,2019
Frenkie de Jong,22,Netherlands,Central Midfield,CM,€60.00m,Ajax Amsterdam,Netherlands,€86.00m,FC Barcelona,2019
Neto,29,Brazil,Goalkeeper,GK,€2.50m,Valencia CF,Spain,€26.00m,FC Barcelona,2019
Junior Firpo,22,Dominican Republic,Left-Back,LB,€12.00m,Real Betis Balompié,Spain,€20.00m,FC Barcelona,2019
Martin Braithwaite,28,Denmark,Centre-Forward,CF,€6.00m,CD Leganés,Spain,€18.00m,FC Barcelona,2019
Pedri,16,Spain,Central Midfield,CM,€100.00m,UD Las Palmas,Spain,€17.50m,FC Barcelona,2019
Matheus Fernandes,21,Brazil,Defensive Midfield,DM,€1.50m,Sociedade Esportiva Palmeiras,Brazil,€7.00m,FC Barcelona,2019
Marc Cucurella,20,Spain,Left-Back,LB,€40.00m,SD Eibar,Spain,€4.00m,FC Barcelona,2019
Moussa Wagué,20,Senegal,Right-Back,RB,€800k,FC Barcelona B,Spain,-,FC Barcelona,2019
Juan Miranda,19,Spain,Left-Back,LB,€5.00m,FC Barcelona B,Spain,-,FC Barcelona,2019
Carles Pérez,21,Spain,Right Winger,RW,€5.00m,FC Barcelona B,Spain,-,FC Barcelona,2019
João Félix,19,Portugal,Second Striker,SS,€50.00m,SL Benfica,Portugal,€127.20m,Atlético de Madrid,2019
Marcos Llorente,24,Spain,Central Midfield,CM,€35.00m,Real Madrid,Spain,€30.00m,Atlético de Madrid,2019
Mario Hermoso,24,Spain,Centre-Back,CB,€18.00m,RCD Espanyol Barcelona,Spain,€25.00m,Atlético de Madrid,2019
Kieran Trippier,28,England,Right-Back,RB,€13.00m,Tottenham Hotspur,England,€22.00m,Atlético de Madrid,2019
Renan Lodi,21,Brazil,Left-Back,LB,€20.00m,Club Athletico Paranaense,Brazil,€21.75m,Atlético de Madrid,2019
Felipe,30,Brazil,Centre-Back,CB,€3.00m,FC Porto,Portugal,€20.00m,Atlético de Madrid,2019
Nicolás Ibáñez,24,Argentina,Centre-Forward,CF,€7.50m,Atlético de San Luis,Mexico,€900k,Atlético de Madrid,2019
Ivan Saponjic,21,Serbia,Centre-Forward,CF,€700k,SL Benfica B,Portugal,€500k,Atlético de Madrid,2019
Héctor Herrera,29,Mexico,Central Midfield,CM,€2.80m,FC Porto,Portugal,free transfer,Atlético de Madrid,2019
Víctor Mollejo,18,Spain,Right Winger,RW,€3.00m,Atlético de Madrid B,Spain,-,Atlético de Madrid,2019
Javi Montero,20,Spain,Centre-Back,CB,€2.00m,Atlético de Madrid B,Spain,-,Atlético de Madrid,2019
Eden Hazard,28,Belgium,Left Winger,LW,€5.00m,Chelsea FC,England,€115.00m,Real Madrid,2019
Luka Jovic,21,Serbia,Centre-Forward,CF,€10.00m,Eintracht Frankfurt,Germany,€63.00m,Real Madrid,2019
Éder Militão,21,Brazil,Centre-Back,CB,€70.00m,FC Porto,Portugal,€50.00m,Real Madrid,2019
Ferland Mendy,24,France,Left-Back,LB,€35.00m,Olympique Lyon,France,€48.00m,Real Madrid,2019
Rodrygo,18,Brazil,Right Winger,RW,€80.00m,Santos FC,Brazil,€45.00m,Real Madrid,2019
Reinier,18,Brazil,Attacking Midfield,AM,€3.00m,CR Flamengo,Brazil,€30.00m,Real Madrid,2019
Alberto Soro,20,Spain,Right Winger,RW,€1.50m,Real Zaragoza,Spain,€2.50m,Real Madrid,2019
Takefusa Kubo,18,Japan,Right Winger,RW,€15.00m,FC Tokyo,Japan,free transfer,Real Madrid,2019
Jorge de Frutos,22,Spain,Right Winger,RW,€8.00m,Real Madrid Castilla,Spain,-,Real Madrid,2019
Javi Sánchez,22,Spain,Centre-Back,CB,€3.00m,Real Madrid Castilla,Spain,-,Real Madrid,2019
Dani Gómez,20,Spain,Centre-Forward,CF,€2.00m,Real Madrid Castilla,Spain,-,Real Madrid,2019
Erick Cabaco,24,Uruguay,Centre-Back,CB,€1.00m,Levante UD,Spain,€8.00m,Getafe CF,2019
Enric Gallego,32,Spain,Centre-Forward,CF,€600k,SD Huesca,Spain,€6.00m,Getafe CF,2019
Allan Nyom,31,Cameroon,Right-Back,RB,€1.00m,West Bromwich Albion,England,€3.00m,Getafe CF,2019
Jack Harper,23,Scotland,Centre-Forward,CF,€200k,Málaga CF,Spain,€1.50m,Getafe CF,2019
Fayçal Fajr,31,Morocco,Central Midfield,CM,€1.50m,SM Caen,France,€1.50m,Getafe CF,2019
Chema Rodríguez,27,Spain,Centre-Back,CB,€500k,Nottingham Forest,England,€1.50m,Getafe CF,2019
Raúl Carnero,30,Spain,Left-Back,LB,€200k,Girona FC,Spain,free transfer,Getafe CF,2019
Xabi Etxeita,31,Spain,Centre-Back,CB,€300k,Athletic Bilbao,Spain,free transfer,Getafe CF,2019
David Timor,29,Spain,Defensive Midfield,DM,€1.00m,UD Las Palmas,Spain,free transfer,Getafe CF,2019
Jasper Cillessen,30,Netherlands,Goalkeeper,GK,€3.00m,FC Barcelona,Spain,€35.00m,Valencia CF,2019
Maxi Gómez,22,Uruguay,Centre-Forward,CF,€8.00m,Celta de Vigo,Spain,€14.50m,Valencia CF,2019
Thierry Correia,20,Portugal,Right-Back,RB,€12.00m,Sporting CP,Portugal,€12.00m,Valencia CF,2019
Denis Cheryshev,28,Russia,Left Winger,LW,€1.50m,Villarreal CF,Spain,€6.00m,Valencia CF,2019
Manu Vallejo,22,Spain,Left Winger,LW,€2.40m,Cádiz CF,Spain,€5.50m,Valencia CF,2019
Jorge Sáenz,22,Spain,Centre-Back,CB,€800k,CD Tenerife,Spain,€2.00m,Valencia CF,2019
Salva Ruiz,24,Spain,Left-Back,LB,€500k,RCD Mallorca,Spain,free transfer,Valencia CF,2019
Eliaquim Mangala,28,France,Centre-Back,CB,€700k,Manchester City,England,free transfer,Valencia CF,2019
Jason,24,Spain,Right Winger,RW,€2.00m,Levante UD,Spain,free transfer,Valencia CF,2019
Àlex Carbonell,21,Spain,Central Midfield,CM,€300k,Córdoba CF,Spain,free transfer,Valencia CF,2019
Álex Centelles,19,Spain,Left-Back,LB,€1.20m,Valencia Mestalla,Spain,-,Valencia CF,2019
Jules Koundé,20,France,Centre-Back,CB,€60.00m,FC Girondins Bordeaux,France,€35.00m,Sevilla FC,2019
Rony Lopes,23,Portugal,Right Winger,RW,€4.00m,AS Monaco,France,€25.00m,Sevilla FC,2019
Youssef En-Nesyri,22,Morocco,Centre-Forward,CF,€15.00m,CD Leganés,Spain,€20.00m,Sevilla FC,2019
Munas Dabbur,27,Israel,Centre-Forward,CF,€4.00m,Red Bull Salzburg,Austria,€17.00m,Sevilla FC,2019
Diego Carlos,26,Brazil,Centre-Back,CB,€30.00m,FC Nantes,France,€15.00m,Sevilla FC,2019
Lucas Ocampos,24,Argentina,Left Winger,LW,€12.00m,Olympique Marseille,France,€15.00m,Sevilla FC,2019
Joan Jordán,24,Spain,Central Midfield,CM,€12.00m,SD Eibar,Spain,€14.00m,Sevilla FC,2019
Luuk de Jong,28,Netherlands,Centre-Forward,CF,€4.00m,PSV Eindhoven,Netherlands,€12.50m,Sevilla FC,2019
Óliver Torres,24,Spain,Central Midfield,CM,€9.00m,FC Porto,Portugal,€11.00m,Sevilla FC,2019
Maximilian Wöber,21,Austria,Centre-Back,CB,€12.00m,Ajax Amsterdam,Netherlands,€10.50m,Sevilla FC,2019
Chicharito,31,Mexico,Centre-Forward,CF,€2.00m,West Ham United,England,€7.75m,Sevilla FC,2019
Fernando,31,Brazil,Defensive Midfield,DM,€3.00m,Galatasaray,Turkey,€4.50m,Sevilla FC,2019
Yan Eteki,21,Cameroon,Defensive Midfield,DM,€1.00m,UD Almería,Spain,€500k,Sevilla FC,2019
Nemanja Gudelj,27,Serbia,Defensive Midfield,DM,€4.00m,Guangzhou Evergrande Taobao,China,free transfer,Sevilla FC,2019
Javi Díaz,22,Spain,Goalkeeper,GK,€500k,Sevilla Atlético,Spain,-,Sevilla FC,2019
Peru Nolaskoain,20,Spain,Defensive Midfield,DM,€1.00m,Bilbao Athletic,Spain,-,Athletic Bilbao,2019
Gaizka Larrazabal,21,Spain,Right Winger,RW,€600k,Bilbao Athletic,Spain,-,Athletic Bilbao,2019
Asier Villalibre,21,Spain,Centre-Forward,CF,€2.50m,Bilbao Athletic,Spain,-,Athletic Bilbao,2019
Iñigo Vicente,21,Spain,Left Winger,LW,€1.50m,Bilbao Athletic,Spain,-,Athletic Bilbao,2019
Hodei Oleaga,22,Spain,Goalkeeper,GK,€100k,Bilbao Athletic,Spain,-,Athletic Bilbao,2019
Alexander Isak,19,Sweden,Centre-Forward,CF,€50.00m,Borussia Dortmund,Germany,€15.00m,Real Sociedad,2019
Portu,27,Spain,Right Winger,RW,€4.50m,Girona FC,Spain,€10.00m,Real Sociedad,2019
Modibo Sagnan,20,France,Centre-Back,CB,€3.00m,RC Lens,France,€4.50m,Real Sociedad,2019
Nacho Monreal,33,Spain,Left-Back,LB,-,Arsenal FC,England,€250k,Real Sociedad,2019
Álex Remiro,24,Spain,Goalkeeper,GK,€25.00m,Athletic Bilbao,Spain,free transfer,Real Sociedad,2019
Aihen Muñoz,21,Spain,Left-Back,LB,€6.00m,Real Sociedad B,Spain,-,Real Sociedad,2019
Ander Guevara,21,Spain,Central Midfield,CM,€5.00m,Real Sociedad B,Spain,-,Real Sociedad,2019
Robin Le Normand,22,France,Centre-Back,CB,€35.00m,Real Sociedad B,Spain,-,Real Sociedad,2019
Ander Barrenetxea,17,Spain,Left Winger,LW,€6.00m,Real Sociedad B,Spain,-,Real Sociedad,2019
Raúl de Tomás,25,Spain,Centre-Forward,CF,€8.00m,SL Benfica,Portugal,€22.50m,RCD Espanyol Barcelona,2019
Matías Vargas,22,Argentina,Left Winger,LW,€6.00m,CA Vélez Sarsfield,Argentina,€10.50m,RCD Espanyol Barcelona,2019
Adrián Embarba,27,Spain,Right Winger,RW,€3.00m,Rayo Vallecano,Spain,€10.00m,RCD Espanyol Barcelona,2019
Leandro Cabrera,28,Uruguay,Centre-Back,CB,€3.50m,Getafe CF,Spain,€9.00m,RCD Espanyol Barcelona,2019
Fernando Calero,23,Spain,Centre-Back,CB,€2.00m,Real Valladolid CF,Spain,€8.00m,RCD Espanyol Barcelona,2019
Oier Olazábal,30,Spain,Goalkeeper,GK,€250k,Levante UD,Spain,€1.50m,RCD Espanyol Barcelona,2019
Andrés Prieto,25,Spain,Goalkeeper,GK,€200k,CD Leganés,Spain,free transfer,RCD Espanyol Barcelona,2019
Ander Iturraspe,30,Spain,Defensive Midfield,DM,-,Athletic Bilbao,Spain,free transfer,RCD Espanyol Barcelona,2019
Víctor Campuzano,22,Spain,Centre-Forward,CF,€500k,RCD Espanyol B,Spain,-,RCD Espanyol Barcelona,2019
Víctor Gómez,19,Spain,Right-Back,RB,€4.00m,RCD Espanyol B,Spain,-,RCD Espanyol Barcelona,2019
Lluís López,22,Spain,Centre-Back,CB,€800k,RCD Espanyol B,Spain,-,RCD Espanyol Barcelona,2019
Adrià Pedrosa,21,Spain,Left-Back,LB,€5.00m,RCD Espanyol B,Spain,-,RCD Espanyol Barcelona,2019
Lucas Pérez,30,Spain,Centre-Forward,CF,€2.00m,West Ham United,England,€2.30m,Deportivo Alavés,2019
Joselu,29,Spain,Centre-Forward,CF,€6.00m,Newcastle United,England,€2.24m,Deportivo Alavés,2019
Ramón Miérez,22,Argentina,Centre-Forward,CF,€2.00m,Club Atlético Tigre,Argentina,€2.23m,Deportivo Alavés,2019
Luis Rioja,25,Spain,Left Winger,LW,€3.00m,UD Almería,Spain,€2.00m,Deportivo Alavés,2019
Pere Pons,26,Spain,Defensive Midfield,DM,€2.00m,Girona FC,Spain,€2.00m,Deportivo Alavés,2019
Jeando Fuchs,21,Cameroon,Defensive Midfield,DM,€900k,FC Sochaux-Montbéliard,France,€1.00m,Deportivo Alavés,2019
Olivier Verdon,23,Benin,Centre-Back,CB,€1.40m,FC Sochaux-Montbéliard,France,free transfer,Deportivo Alavés,2019
Tachi,21,Spain,Defensive Midfield,DM,€400k,Atlético de Madrid B,Spain,free transfer,Deportivo Alavés,2019
Saúl García,24,Spain,Left-Back,LB,€400k,Deportivo de La Coruña,Spain,free transfer,Deportivo Alavés,2019
Edgar Méndez,30,Spain,Right Winger,RW,€1.00m,CD Cruz Azul,Mexico,?,Deportivo Alavés,2019
Borja Sainz,18,Spain,Left Winger,LW,€2.20m,Deportivo Alavés U19,Spain,-,Deportivo Alavés,2019
Edu Expósito,22,Spain,Central Midfield,CM,€6.00m,Deportivo de La Coruña,Spain,€4.00m,SD Eibar,2019
Quique González,29,Spain,Centre-Forward,CF,€800k,Deportivo de La Coruña,Spain,€3.30m,SD Eibar,2019
Pedro Bigas,29,Spain,Centre-Back,CB,€1.00m,UD Las Palmas,Spain,€3.00m,SD Eibar,2019
