,player.id,player.name,player.firstname,player.lastname,player.age,player.birth.date,player.birth.place,player.birth.country,player.nationality,player.height,player.weight,player.injured,player.photo,statistics.team.id,statistics.team.name,statistics.team.logo,statistics.league.id,statistics.league.name,statistics.league.country,statistics.league.logo,statistics.league.flag,statistics.league.season,statistics.games.appearences,statistics.games.lineups,statistics.games.minutes,statistics.games.number,statistics.games.position,statistics.games.rating,statistics.games.captain,statistics.substitutes.in,statistics.substitutes.out,statistics.substitutes.bench,statistics.shots.total,statistics.shots.on,statistics.goals.total,statistics.goals.conceded,statistics.goals.assists,statistics.goals.saves,statistics.passes.total,statistics.passes.key,statistics.passes.accuracy,statistics.tackles.total,statistics.tackles.blocks,statistics.tackles.interceptions,statistics.duels.total,statistics.duels.won,statistics.dribbles.attempts,statistics.dribbles.success,statistics.dribbles.past,statistics.fouls.drawn,statistics.fouls.committed,statistics.cards.yellow,statistics.cards.yellowred,statistics.cards.red,statistics.penalty.won,statistics.penalty.commited,statistics.penalty.scored,statistics.penalty.missed,statistics.penalty.saved
0,1447,Nacho Monreal,Ignacio,Monreal Eraso,36,1986-02-26,Pamplona,Spain,Spain,179 cm,72 kg,False,https://media-3.api-sports.io/football/players/1447.png,548,Real Sociedad,https://media-1.api-sports.io/football/teams/548.png,140,La Liga,Spain,https://media-1.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2019,29.0,27.0,2392.0,,Defender,6.864285,False,2.0,4.0,6.0,19.0,7.0,2.0,,,,879.0,12.0,83.0,36.0,5.0,43.0,67.0,39.0,14.0,10.0,,16.0,35.0,3.0,0.0,0.0,,,0.0,0.0,
1,1560,Barragán,Antonio,Barragán Fernández,35,1987-06-12,Pontedeume,Spain,Spain,182 cm,76 kg,False,https://media-3.api-sports.io/football/players/1560.png,543,Real Betis,https://media-1.api-sports.io/football/teams/543.png,140,La Liga,Spain,https://media-1.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2019,12.0,7.0,638.0,,Defender,6.718181,False,5.0,2.0,25.0,2.0,0.0,0.0,,1.0,,329.0,8.0,85.0,6.0,2.0,7.0,14.0,8.0,3.0,2.0,,13.0,9.0,4.0,0.0,0.0,,1.0,0.0,0.0,
2,1704,Bruno,Bruno,Soriano Llido,37,1984-06-12,Artana,Spain,Spain,184 cm,73 kg,False,https://media-1.api-sports.io/football/players/1704.png,533,Villarreal,https://media-1.api-sports.io/football/teams/533.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2019,7.0,1.0,258.0,,Midfielder,6.742857,False,6.0,1.0,8.0,1.0,1.0,0.0,,,,257.0,0.0,90.0,4.0,0.0,1.0,15.0,8.0,2.0,1.0,,0.0,4.0,1.0,0.0,0.0,,,0.0,0.0,
3,2043,Daniel Filipe Martins Carriço,Daniel Filipe,Martins Carriço,34,1988-08-04,Cascais,Portugal,Portugal,180 cm,79 kg,False,https://media-2.api-sports.io/football/players/2043.png,536,Sevilla,https://media-3.api-sports.io/football/teams/536.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2019,11.0,10.0,849.0,,Defender,6.681818,False,1.0,3.0,2.0,6.0,0.0,0.0,,,,506.0,1.0,89.0,5.0,3.0,8.0,,,3.0,3.0,,2.0,8.0,3.0,0.0,0.0,,,0.0,0.0,
4,2205,H. Ben Arfa,Hatem,Ben Arfa,35,1987-03-07,Clamart,France,France,178 cm,65 kg,False,https://media-3.api-sports.io/football/players/2205.png,720,Valladolid,https://media-2.api-sports.io/football/teams/720.png,140,La Liga,Spain,https://media-1.api-sports.io/football/leagues/140.png,https://media-2.api-sports.io/flags/es.svg,2019,5.0,2.0,158.0,,Midfielder,6.425000,False,3.0,2.0,8.0,1.0,0.0,0.0,,,,36.0,1.0,74.0,,0.0,0.0,13.0,4.0,7.0,3.0,,0.0,1.0,1.0,0.0,0.0,,,0.0,0.0,
5,46647,Rubén Iván Martínez Andrade,Rubén Iván,Martínez Andrade,38,1984-06-22,Coristanco,Spain,Spain,188 cm,79 kg,False,https://media-1.api-sports.io/football/players/46647.png,727,Osasuna,https://media-1.api-sports.io/football/teams/727.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2019,19.0,18.0,1583.0,,Goalkeeper,6.511111,False,1.0,1.0,8.0,0.0,0.0,0.0,26.0,,30.0,201.0,0.0,44.0,1.0,0.0,1.0,3.0,3.0,2.0,2.0,,2.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
6,46685,R. Azeez,Ramon Olamilekan,Azeez,29,1992-12-12,Abuja,Nigeria,Nigeria,169 cm,67 kg,False,https://media-3.api-sports.io/football/players/46685.png,715,Granada CF,https://media-2.api-sports.io/football/teams/715.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-2.api-sports.io/flags/es.svg,2019,25.0,14.0,1356.0,,Midfielder,6.620833,False,11.0,7.0,23.0,20.0,4.0,2.0,,,,292.0,6.0,78.0,10.0,2.0,19.0,34.0,16.0,10.0,3.0,,19.0,29.0,3.0,0.0,0.0,,,0.0,0.0,
7,47259,Bergara,Markel,Bergara Larrañaga,34,1986-05-05,Elgoibar,Spain,Spain,180 cm,74 kg,False,https://media-3.api-sports.io/football/players/47259.png,546,Getafe,https://media-3.api-sports.io/football/teams/546.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-2.api-sports.io/flags/es.svg,2019,2.0,0.0,70.0,,Midfielder,6.500000,False,2.0,0.0,3.0,1.0,0.0,0.0,,,,9.0,0.0,56.0,,0.0,0.0,,,0.0,0.0,,0.0,3.0,2.0,0.0,0.0,,,0.0,0.0,
8,47261,Mathieu Flamini,Mathieu,Flamini,35,1984-03-07,Marseille,France,France,178 cm,67 kg,False,https://media-2.api-sports.io/football/players/47261.png,546,Getafe,https://media-1.api-sports.io/football/teams/546.png,140,La Liga,Spain,https://media-1.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2019,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,47280,Beñat,Beñat,Etxebarria Urkiaga,34,1987-02-19,Igorre,Spain,Spain,176 cm,75 kg,False,https://media-3.api-sports.io/football/players/47280.png,531,Athletic Club,https://media-2.api-sports.io/football/teams/531.png,140,La Liga,Spain,https://media-1.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2019,11.0,3.0,388.0,,Midfielder,6.690909,False,8.0,2.0,15.0,5.0,2.0,0.0,,,,151.0,10.0,83.0,5.0,1.0,3.0,,,1.0,0.0,,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,
